per_sem;agente;mto_tot_ingresos_soles;cnt_alquileres_mean;cnt_alquileres_std;cnt_dias_alquilados_mean;cnt_dias_alquilados_std;mto_alquiler_soles_std;mto_conserje_soles_mean;mto_conserje_soles_min;mto_conserje_soles_max;mto_conserje_soles_sum;mto_conserje_soles_std;mto_adicionales_soles_mean;mto_adicionales_soles_std;mto_tot_bruto_ingresos_soles_mean;mto_tot_bruto_ingresos_soles_std;porc_mto_alq_mean;porc_mto_alq_max;porc_mto_alq_std;porc_mto_csje_mean;porc_mto_csje_min;porc_mto_csje_max;porc_mto_csje_std;porc_mto_ing_mean;porc_mto_ing_max;ratio_alq_mto_x_unid_mean;ratio_alq_mto_x_unid_std;ratio_csje_mto_x_unid_mean;ratio_csje_mto_x_unid_min;ratio_csje_mto_x_unid_max;ratio_csje_mto_x_unid_std;ratio_alq_mto_x_dia_std;ratio_csje_mto_x_dia_mean;ratio_csje_mto_x_dia_min;ratio_csje_mto_x_dia_max;ratio_csje_mto_x_dia_std
201909;AGENT - 027;545.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201909;AGENT - 028;1518;1.666666667;1.154700538;7.666666667;1.154700538;323.893501;0;0;0;0;0;1527.886667;501.3363327;3485.886667;825.2298338;1;1;0;0;0;0;0;0.567444246;0.588481578;1439.777778;573.6937175;0;0;0;0;3.528251645;0;0;0;0
201909;AGENT - 029;2310;3;2;7.666666667;6.110100927;2984.794479;0;0;0;0;0;32.26666667;55.88750606;3719.1;3085.950555;0.953051643;1;0.081316939;0;0;0;0;0.993253603;1;1030.455556;921.9578204;0;0;0;0;46.74569246;0;0;0;0
201910;AGENT - 001;3707;4;3.605551275;11.66666667;12.66227994;2998.32909;0;0;0;0;0;1523.866667;2633.70079;4552.533333;5560.513093;1;1;0;0;0;0;0;0.859187342;1;668.8611111;198.2890765;0;0;0;0;59.82857107;0;0;0;0
201910;AGENT - 002;1056;6;1.732050808;18;12.12435565;3054.760274;0;0;0;0;0;437.0666667;577.0769562;7429.4;1687.834494;1;1;0;0;0;0;0;0.950031521;1;1191.391667;135.1143967;0;0;0;0;2.865822399;0;0;0;0
201910;AGENT - 004;1100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201910;AGENT - 006;6457;2.333333333;1.154700538;10;3;820.2440694;0;0;0;0;0;3648.7;318.1777334;6219.033333;1112.105077;1;1;0;0;0;0;0;0.406481625;0.459191231;1250.333333;474.1639426;0;0;0;0;5.373798659;0;0;0;0
201910;AGENT - 010;1320;0.333333333;0.577350269;1.333333333;2.309401077;558.8750606;0;0;0;0;0;0;0;322.6666667;558.8750606;0.333333333;1;0.577350269;0;0;0;0;0.333333333;1;322.6666667;558.8750606;0;0;0;0;139.7187651;0;0;0;0
201910;AGENT - 012;0;3;1;11;7.937253933;2016.583332;0;0;0;0;0;3038.933333;3016.538031;5880.6;4923.002779;1;1;0;0;0;0;0;0.579611568;0.757575758;876.9444444;587.2631516;0;0;0;0;10.30717174;0;0;0;0
201910;AGENT - 015;1056;2.333333333;2.309401077;7.666666667;8.326663998;3372.253586;0;0;0;0;0;2818.976;4033.521515;5715.715667;7307.769939;1;1;0;0;0;0;0;0.567772547;1;1133.366667;409.9774425;0;0;0;0;93.06762774;0;0;0;0
